subject,predicate,object
kwgr:vulnerabilityObservableProperty.socialVulnerabilityIndex,rdfs:subClassOf,kwg-ont:VulnerabilityObservableProperty
kwg-ont:MagnitudeObservation,sosa:phenomenonTime,time:TemporalEntity
kwg-ont:MagnitudeObservationCollection,sosa:phenomenonTime,time:TemporalEntity
kwg-ont:StormTrackletObservationCollection,sosa:hasMember,kwg-ont:StormTrackletObservation
kwgr:roadType.C,rdfs:subClassOf,kwg-ont:RoadType
kwgr:roadType.I,rdfs:subClassOf,kwg-ont:RoadType
kwgr:roadType.M,rdfs:subClassOf,kwg-ont:RoadType
kwgr:roadType.O,rdfs:subClassOf,kwg-ont:RoadType
kwgr:roadType.S,rdfs:subClassOf,kwg-ont:RoadType
kwgr:roadType.U,rdfs:subClassOf,kwg-ont:RoadType
kwg-ont:StormTracklet,geo:hasGeometry,geo:Geometry
kwg-ont:StormTracklet,geo:hasDefaultGeometry,geo:Geometry
kwg-ont:MTBSWildlandFireUse,rdfs:subClassOf,kwg-ont:WildlandFireUse
kwg-ont:BlueskyWildfireObservationCollection,sosa:phenomenonTime,time:Instant
kwg-ont:RoadSegment,rdfs:subClassOf,kwg-ont:RoadSegmentNode
kwg-ont:GeometryCollection,rdfs:subClassOf,geo:SpatialObject
kwg-ont:Cell,kwg-ont:spatialRelation,geo:Feature
sosa:EarthquakeObservation,sosa:hasFeatureOfInterest,kwg-ont:Earthquake
kwg-ont:SoilMapUnit,kwg-ont:hasGeometry,kwg-ont:GeometryCollection
kwg-ont:SmokePlumeSnapshot,rdfs:subClassOf,sosa:FeatureOfInterest
kwg-ont:StormTrackletObservation,sosa:observedProperty,kwg-ont:StormTrackletObservableProperty
kwg-ont:USCensusMSA,kwg-ont:typeOfLSAD,kwg-ont:LSADArea
kwg-ont:CroplandObservationCollection,sosa:hasMember,kwg-ont:CroplandObservation
kwg-ont:ClimateDivisionObservationResult,kwg-ont:mean,kwg-ont:Quantity
kwg-ont:ClimateDivisionObservationResult,kwg-ont:value,kwg-ont:Quantity
kwg-ont:MTBSFireObservationCollection,sosa:hasFeatureOfInterest,kwg-ont:MTBSFire
kwg-ont:ClimateDivisionObservationResult,sosa:hasMember,kwg-ont:ClimateDivisionPropertyObservationCollection
kwg-ont:AirQualitySite,rdfs:subClassOf,geo:Feature
kwg-ont:DroughtZoneOverlapObservationCollection,kwg-ont:compositePercentageInformation,rdfs:literal
kwg-ont:AirQualitySite,sosa:hosts,kwg-ont:AirQualityInstrument
kwg-ont:Earthquake,geo:hasGeometry,geo:Geometry
kwg-ont:Earthquake,geo:hasDefaultGeometry,geo:Geometry
kwg-ont:SmokePlumeObservation,sosa:phenomenonTime,time:Instant
kwg-ont:NIFCFireObservation,sosa:phenomenonTime,time:Instant
kwgr:mtbsFireObservableProperty.StandardDeviationOfMeandNBRValue,rdfs:subClassOf,kwg-ont:MTBSFireObservableProperty
kwgr:mtbsFireObservableProperty.NumberOfAcresBurned,rdfs:subClassOf,kwg-ont:MTBSFireObservableProperty
kwgr:mtbsFireObservableProperty.MeandNBRValue,rdfs:subClassOf,kwg-ont:MTBSFireObservableProperty
kwg-ont:Hazard,rdfs:subClassOf,geo:Feature
kwg-ont:NOAAHazardEvent,rdfs:subClassOf,kwg-ont:Hazard
kwg-ont:StormTrack,kwg-ont:hasTemporalScope,time:Interval
kwg-ont:StormTrackObservation,sosa:observedProperty,kwg-ont:StormTrackObservableProperty
kwg-ont:CroplandResult,qudt:value,xsd:double
kwgr:airQualityObservableProperty.PM10,rdfs:subClassOf,kwg-ont:AirPollutant
kwgr:airQualityObservableProperty.PM25,rdfs:subClassOf,kwg-ont:AirPollutant
kwgr:airQualityObservableProperty.Pb,rdfs:subClassOf,kwg-ont:AirPollutant
kwgr:airQualityObservableProperty.CO,rdfs:subClassOf,kwg-ont:AirPollutant
kwgr:airQualityObservableProperty.NO2,rdfs:subClassOf,kwg-ont:AirPollutant
kwgr:airQualityObservableProperty.Ozone,rdfs:subClassOf,kwg-ont:AirPollutant
kwgr:airQualityObservableProperty.SO2,rdfs:subClassOf,kwg-ont:AirPollutant
kwg-ont:MTBSFire,kwg-ont:hasTemporalScope,time:TemporalEntity
kwg-ont:MTBSFire,geo:hasGeometry,geo:Geometry
kwg-ont:MTBSFire,geo:hasDefaultGeometry,geo:Geometry
