subject,predicate,object
kwgl-ont:Earthquake,rdf:type,owl:Class
kwgl-ont:Earthquake,rdfs:subClassOf,kwgl-ont:HazardEvent
kwgl-ont:Fire,rdf:type,owl:Class
kwgl-ont:Fire,rdfs:subClassOf,kwgl-ont:HazardEvent
kwgl-ont:Fire,kwgl-ont:isOfFireType,kwglr:MTBSComplexFire
kwgl-ont:Fire,kwgl-ont:isOfFireType,kwglr:MTBSOutOfAreaResponseFire
kwgl-ont:Fire,kwgl-ont:isOfFireType,kwglr:MTBSUnknownFire
kwgl-ont:Fire,kwgl-ont:isOfFireType,kwglr:MTBSWildfire
kwgl-ont:Fire,kwgl-ont:isOfFireType,kwglr:MTBSWildlandFireUse
kwgl-ont:Fire,kwgl-ont:isOfFireType,kwglr:NIFCIncidentComplexFire
kwgl-ont:Fire,kwgl-ont:isOfFireType,kwglr:NIFCPrescribedFire
kwgl-ont:Fire,kwgl-ont:isOfFireType,kwglr:NIFCWildfire
kwgl-ont:Fire,kwgl-ont:isOfFireType,kwglr:NOAAWildfire
kwgl-ont:FireType,rdf:type,owl:Class
kwgl-ont:HazardEvent,rdf:type,owl:Class
kwgl-ont:HazardEvent,kwgl-ont:affectedAreaInAcres,xsd:nonNegativeInteger
kwgl-ont:HazardEvent,kwgl-ont:damageToCropsInDollars,xsd:nonNegativeInteger
kwgl-ont:HazardEvent,kwgl-ont:damageToInfrastructureInDollars,xsd:nonNegativeInteger
kwgl-ont:HazardEvent,kwgl-ont:hasEndDate,xsd:date
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:astronomicalLowTide
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:avalanche
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:blizzard
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:coastalFlood
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:coldWindChill
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:debrisFlow
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:denseFog
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:denseSmoke
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:drought
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:dustDevil
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:dustStorm
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:earthquake
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:excessiveHeat
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:extremeColdWindChill
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:fire
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:flashFlood
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:flood
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:freezingFog
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:frostFreeze
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:funnelCloud
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:hail
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:heat
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:heavyRain
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:heavySnow
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:highSurf
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:highWind
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:hurricane
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:iceStorm
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:lake-EffectSnow
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:lakeshoreFlood
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:lightning
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:marineHail
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:marineHighWind
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:marineStrongWind
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:marineThunderstormWind
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:marineTropicalDepression
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:marineTropicalStorm
kwgl-ont:HazardEvent,kwgl-ont:hasHazardType,kwglr:ripCurrent
